"Contract No","Title","DAC Code","Organisation","Organisation Nationality","Country or Region","Action location","Amount in Euro","EC financing","Total cost in Euro","Duration","Duration Unit","Year"
153585,"From Saimaa to Onega",33210,"LAPPEENRANNAN SEUDUN YRITYSPALVELUTOY","Finland","Russia ","St.Petersburg, Leningrad Region.
Target group: tourism companies, local authorities.",188140,90,209740,18,"M",2008
154168,"Three Polessyes: Common Strategy of Preservation and Ecological Usage of the Natural Heritage of the Belarusian-Polish-Ukrainian Borderland",41010,"GOSUDARSTVENNOE NAUCHNOE UCHREZHDENIE POLESSKIY AGRARNO-EKOLOGICHESKIYINSTITUT NACIONALNOY AKADEMII NAUKBELARUSI","Belarus","Tacis Region","The Action's location is Brest region of Belarus and Volyn region of Ukraine. 
The target group is the population living in the vicinitiy of the protected territories of Polessye. ",120000,90,133333.34,12,"M",2008
154273,"Avrora High Tech. NP South-East Finland - Russia ",32130,"SANKT-PETERBURGSKIY FOND PODDERZHKIPROMYSHLENOSTI","Russia ","Tacis Region","Geographical location: St. Petersburg, Leningrad region (Russia);  Kymenlaakso region (FI)
Target group:
SMEs and other clients of Avrora High-Tech training centre (knowledge-orienged SMEs), teachers and local authorities responsible for SME support
",157964.37,90,176496.5,20,"M",2008
154307,"St. Petersburg Corridor - Two-Model Open Innovation Platform Approach (TMOIPA) - NP South-East Finland -Russia",32130,"LAPPEENRANTA INNOVATION OY","Finland","Tacis Region","Geographical location: St. Petersburg, Leningrad region (Russia); South-Karelia, Kymenlaaksoregions, Savonlinna  town (FI)
Target group: innovative SMEs; RDAs in Ru and FI; universities and research institutes in related area; local authorities. 
",170000,89,190000,16,"M",2008
154504,"Utilization of Toxic Pesticides on the Territory of Lviv Oblast in the Transboundary Basin of the River San and Western Bug",74010,"ECOLOGIYA-PRAVO-LUDYNA INTERNATIONAL CHARITABLE ORGANIZATION","Ukraine","Tacis Region","The Action's location is Lviv region of Ukraine.
The target group is the population living on the territory of basin areas of the transborder rivers Western Bug and San in Ukraine and in Poland",525492,89,590440,12,"M",2008
154946,"Creation of Polish-Belarusian-Ukrainian Water Policy in the Bug Basin",14010,"INSTYTUT OCHRONY SRODOWISKA","Poland","Tacis Region","Action's location is Brest region of Belarus and Volyn, Lviv regions of Ukraine.
Project target groups:
1)	Polish, Belarussian and Ukrainian institutions governmental and regional level responsible for water management and transboundary waters cooperation;
2)	Polish, Belarussian and Ukrainian institutions responsible for  the Bug basin management and monitoring;
3)	Local institutions responsible for environment protection on a district/rayon level;
4)	Scientific institutes involved in water",150000,78,193474.97,12,"M",2008
155031,"A Way Home -  Tourism in the Countryside of Leningrad Region",33210,"KOUVOLAN SEUDUN KUNTAYHTYMA KRFM","Finland","Russia ","St.Petersburg, Ivangorod, Leningrad Region.
Target group: travel agencies, tourism entrepreneurs, local and regional authorities, population.",188816,90,209795,24,"M",2008
155645,"Improvement  of natural environment in the Western Bug basin",14050,"VOLINSKIY OBLASNIY DERZHAVNIY PROEKTNO-TEHNOLOGICHNIY CENTR OHORONI RODYUCHOSTI GRUNTIV I YAKOSTI PRODUKCII","Ukraine","Tacis Region","Action's location is Volyn region of Ukraine.
The target groups of the project are:
- the population of the Western Bug drainage basin in Poland, Ukraine, Belarus (Volyn region of Ukraine, Brest and Grodno provinces of Belarus, Lublin, Podlachian, and Masovian provinces of Poland);
- the authorities and local governments concerned with ecological, economic, and social management;
- specialized institutions and organization of environmental decision control and justification.
",840000,89,940000,24,"M",2008
156471,"Gender Equality in the World of Work",16020,"INTERNATIONAL LABOUR ORGANIZATION","Switzerland","Ukraine","Kyiv, Ukraine
Inter-Agency Council on Family, Gender Equality, Demographic Development and Countering Human Trafficking, Governmental authorities of Ukraine (Ministry of Labour and Social Policy of Ukraine, Ministry of Family, Youth and Sport of Ukraine, State Department of Statistics, State Labour Inspection), Public Employment Service, social partners (employers¿ organizations and trade unions), general public, women-entrepreneurs, business training institutions
",1093407,90,1214897,30,"M",2008
157044,"Bucovina Innovation Centre",32130,"BUKOVINSKA DERZHAVNA FINANSOVA AKADEMIYA","Ukraine","Tacis Region","Chernivtsi, Ukraine",738756,90,820840,24,"M",2008
157048,"The consolidation of the boundary regions integration in sense of countryside and green tourism development ",33210,"ODESKA OBLASNA SILSKOGOSPODARSKA DORADCHA SLUHBA CENTR ROZVITKU TA PRAVOVOI PIDTRIMKI SELA","Ukraine","Tacis Region","Odessa region.
Local NGOs, tourist industry actors, local population",665000,87,765987,24,"M",2008
157050,"BikeLand",33210,"CENTR SOCIALNIH TA DILOVIH INICIATIV","Ukraine","Tacis Region","yaremche, Ivano-Frankivsk region, Ukraine",512680,90,572680,24,"M",2008
157054,"Flood protection improvement and environmental sanitation on the Ukrainian-Romanian Tysza river border",41050,"TRANSCARPATHIAN INDUSTRIAL ADMINISTRATION OF MELIORATION AND WATER MANAGEMENT","Ukraine","Tacis Region","Zakarpattia region, Ukraine",802742.4,90,891936,24,"M",2008
157055,"PROMOTION OF JOINT CULTURAL HERITAGE AS A WAY OF CULTURAL DIALOGUE DEVELOPMENT BETWEEN COMMUNITIES IN CROSS-BORDER REGION OF CHERNIVTSI AND SUCEAVA",16061,"VIKONAVCHIY KOMITET CHERNIVECKOY MISKOY RADI","Ukraine","Tacis Region","Chernivtsi,  Ukraine",261166,90,290184,19,"M",2008
157057,"Creation of integrative tourist product for development of cultural tourism of Bukovyna",33210,"DERZHAVNIY ISTORIKO-ARHITEKTURNIY ZAPOVIDNIK HOTINSKA FORTECYA","Ukraine","Tacis Region","Khotyn castle, Chernivtsi region, Ukraine",631487,90,701652,24,"M",2008
157717,"Creation of the cross-border network of emergency medical aid stations and information-coordination center in Lviv
",12191,"KOMUNALNIY ZAKLAD LVIVSKIY OBLASNIYCENTR EKSTRENOI MEDICHNOI DOPOMOGITA MEDICINI KATASTROF","Ukraine","Tacis Region","Action's location is Lviv region of Ukraine.
The target groups are:
- Inhabitants of local communities getting under the affected zone of project on contiguous territories of Ukraine and Poland;
- All foreign citizens, including those from the countries of EU, being on territory of project influence;
- Drivers and passengers of transit, local and international motor transport;
-  Employees emergency ¿ rescue and mine-rescue services of border-line territories;
- Medical personnel of brigad",843934,83,1010700,14,"M",2008
158081,"Bella Dvina'' - Crossing the border, discovering the culture, enjoying the nature of the Western Dvina/Daugava river space",33210,"POLOCKIY GORODSKOY SOVET NARODWIH DEPUTATOV ISPOLNITELNIY KOMITET","Belarus","Tacis Region","Belarus (Polotsk Region); Latvia (Daugavpils)",486892,87,562372,24,"M",2008
158128,"Support to Environment and Sustainable Development in Belarus",41081,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Belarus","Location: all regions of Belarus - Minsk, Gomel, Grodno, Vitebsk, Mogilev and Brest regions.

Target groups: Central and local authorities, civil society organisations, businesses, academia, media, decision-makers, environmental assessment practitioners and the general public all over Belarus
",1500000,90,1669871,27,"M",2008
158796,"Hereditary cancer knowledge exchange, awareness raising and management in the border regions of Belarus, Latvia and Lithuania",12220,"PAULA STRADINA KLINISKA UNIVERSITATES SLIMNICA AS","Latvia","Tacis Region","The Action's location is Grodno region of Belarus.",585089,90,653662,24,"M",2008
159195,"Development of tourist information infrastructure in Lviv",33210,"VIKONAVCHIY KOMITET LVIVSKOY MISKOYRADI","Ukraine","Tacis Region","Location of the action: the city of Lviv, Ukraine.
Target group of the project: tourists from Ukraine or abroad.",683025,90,758917.6,25,"M",2008
159200,"Improvement of the system of public participation for ecological disasters¿ preventing and response in Euroregion Bug",41081,"RESPUBLIKA BELARUS","Belarus","Tacis Region","Brest, Belarus (Euroregion Bug). ",899377,90,999308,24,"M",2008
160116,"Cross-border co-operation of neighbouring regions of Belarus and Lithuania for improving ecological safety of a common water basin",14015,"LIETUVOS RESPUBLIKA","Lithuania","Tacis Region","The majority of activities will be implemented in Belarus - in Grodno region. In the border region of Lithuania the activities will be carried out in Vilnius and Alytus regions.",709170,88,808900,20,"M",2008
160203,"¿Unknown Europe¿- tourism infrastructure development in the cross-border area of Augustov Canal and the Neman river",33210,"SUWALSKA IZBA ROLNICZO - TURYSTYCZNA IZBA GOZPODARCZA","Poland","Tacis Region","The main beneficiary of the project is Grodno region (Belarus). Some actions will also take place in the Contractor's location - Suwalki (Poland).",666000,90,740000,24,"M",2008
160326,"Cross Border Cooperation in Investment development of Rural Regions",43040,"BUKOVINA CENTER FOR DEVELOPMENT AND RECONSTRUCTION","Ukraine","Tacis Region"," Rural areas of Chernivtsi regio,  Ukraine
target groups: local population, businessmen, SMEs, NGOs",653343.02,88,738574.52,18,"M",2008
160354,"Cross-Border Partnership for Sustainable Community Development ",15150,"SMALL BUSINESS AND INNOVATION DEVELOPMENT ASSOCIATION UZHGOROD -XXI-ST CENTURY","Ukraine","Ukraine","Ukraine ¿ Zakarpatska oblast (Rakhiv, Tyachevo, Khust and Vynogradovo districts)
Romania ¿ Maramures, Satu Mare counties
Target groups:¿	local communities of the target region;
¿	village, town and district councils, district state administration in the border areas of Zakarpattya in Ukraine and local authorities in the border areas of Romania; and,
¿	local and national NGOs.",231442,90,257158,24,"M",2008
161508,"NP South-East Finland - Russia. VIP - Vyborg Industrial Park",32130,"LAPPEENRANNAN YRITYSTILA OY","Finland","Tacis Region","Geographical location: Vyborg District and Leningrad Region (Russia; South Karelia, Kymenlaakso, South Savo regions (FI)
Target group: SMEs in Finland and Russia; companies offering SME support services; companies offering infrastructure services in the target regions; local communities in Vyborg district (RU), Lappeenranta (FI)",157200,90,175200,16,"M",2008
161529,"Development of Beregovo Transboundary Polder System in the Tysa river basin",41050,"TRANSCARPATHIAN INDUSTRIAL ADMINISTRATION OF MELIORATION AND WATER MANAGEMENT","Ukraine","Tacis Region","Zakrapttya region, Ukraine",720000,90,800000,24,"M",2008
161601,"Pure Water",14030,"AGENCY OF REGIONAL DEVELOPMENT ANDCROSS BORDER CO-OPERATION-TRANSCARPATIA","Ukraine","Tacis Region","Uzhgorod district, Zakarpatska Oblast, Ukraine ",596034,90,662375,24,"M",2008
162007,"Cross-border opportunities of transport logistics developments",21010,"SLUZHBA AVTOMOBILNIH DORIGU ZAKARPATSKIY OBLASTI","Ukraine","Tacis Region","Zakarpattya Region, Ukraine",534114.9,90,593461,12,"M",2008
162612,"Preventing, Fighting and Addressing the Social Consequences of Trafficking in Human Beings in the Republic of Belarus ¿ BELTRAFFIC 2",99810,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Belarus","Target groups / beneficiaries:
1) Ministry of Internal Affairs
2) State Border Committee
3) Ministry of Foreign Affairs
4) Ministry of Health
5) NGOs dealing with advocating for THB issues, including La Strada
6) Social workers, psychologists, Centres for Social Assistance, Employment Centres
7) Rehabilitation Centres and victims of trafficking

Geographic area:
- Minsk and Brest
- Regarding research and awareness campaigns: all Belarus territory",1200000,90,1334550,28,"M",2008
163210,"Cross-border cultural activities - premise for a multilateral sustainable cooperation",16061,"PRIMARIA SATULUI FESTELITA","Moldova","Tacis Region","Main target group is the population of the Festelitsa village and neighbouring villages from Stefan Voda rayon, Republic of Moldova",286793.63,90,318659.59,18,"M",2008
163296,"Improvement of social and economic situation and increasing of investing activities of the poor communities living along the border river Prut, Hincesti region by renovating the road M1Ivanovca-Obileni-Cotul Morii",21020,"CONSILIUL RAIONAL HINCESTI","Moldova","Tacis Region","Renovation and maintenance of the road M1 Ivanovca-Obileni-Cotul Morii, Hincesti Rayon , Republic of Moldova ",563037,75,750716,20,"M",2008
163328,"Twinning ''Support to Strengthening Road Freight and Passenger Transport Safety in Ukraine''",21020,"ASSISTANCE AU DEVELOPPEMENT DESECHANGES EN TECHNOLOGIES ECONOMIQUES ET FINANCIERES ADETEF","France","Ukraine","Action provided for the Ministry of Transport and Communication of Ukraine - Kyiv, Ukraine, and in part for the Ministry of Internal Affairs of Ukraine - Kyiv, Ukraine",1000000,100,1000000,18,"M",2008
163340,"Twinning project ''Support to Transport  Policy Design and Implementation in Ukraine''",21010,"DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH","Germany","Ukraine","Ukraine",1000000,100,1000000,24,"M",2008
163393,"Improvement of the solid waste management in Falesti district",41010,"REPUBLICA MOLDOVA","Moldova","Tacis Region","Improvment of waste management in the villages of the Falesti rayon, Republic of Moldova ",253955.7,90,282173,24,"M",2008
163447,"Women and children's rights in Ukraine",15170,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Ukraine","Ukraine, all regions
Target groups: Verkhovna Rada of Ukraine, Government of Ukraine, gender CSOs, mass-media, general public, judicial system of Ukraine
National Gender Machinery, general public
",5388670,95,5672284,36,"M",2008
163498,"Women and children rights in Ukraine",15160,"CONSEIL DE L' EUROPE","France","Ukraine","Kyiv",1080000,90,1200000,24,"M",2008
163549,"Development and diversification of the communitarian social services for children with disabilities and their families in the Republic of Moldova",16010,"CENTRUL DE PLASAMENT SI REABILITARE PENTRU COPII DE VARSTA FRAGEDA","Moldova","Tacis Region","Creation of a day centre for children with disabilities from Chisinau municipality (and neighbouring villages), Republic of Molodva ",262737.2,90,291930.22,24,"M",2008
163690,"A family for every child",16010,"CONSILIUL RAIONAL LEOVA","Moldova","Tacis Region","Creation of the day care centre for children from poor families from Leova rayoan, Republic of Moldova in order to provide educational and care services",200752.2,90,223058,17,"M",2008
163849,"Creation of better social-economic conditions through water supply from natural springs in the village of Ciuciuleni, Hincesti District, Republic of Moldova",14030,"APA SANATATE DREPTATE-CIUCIULENI","Moldova","Moldova","Construction of the water supply system in Ciuciuleni  village, Hincesti rayon , Republic of Moldova",553753.43,75,738337.9,17,"M",2008
163937,"A clean cross-border environment through creation of a selective waste collection and establishment of a waste selecting station in Anenii Noi area",41010,"INTREPRINDEREA MUNICIPALA DE GESTIONARE A GOSPODARIEI LOCATIV COMUNALEDIN ANENII NOI","Moldova","Tacis Region","Creation of 32 platforms for selective waste collection , in Anenii Noi rayon, Republic of Moldova",263933.28,90,293259.2,20,"M",2008
164049,"Cross-border social partnerships for the benefit of elder lonely people",16010,"REPUBLICA MOLDOVA","Moldova","Moldova","Rehabilitation of a care centre for elder lonely people in Soroca rayon, Republic of Moldova",264591,90,293990,12,"M",2008
164051,"Development of the touristic roads in Nisporeni-Prut cross-broder area ",33210,"REPUBLICA MOLDOVA","Moldova","Moldova","Development of the touristic routesin Nisporeni-Prut cross-broder area, Republic of Molodva, Romania",258216.64,88,293428,24,"M",2008
164053,"Twinning ''Support to the Improvement of Legal and Technical Aspects of Food Quality and Safety Assurance and Certification Requirements of Azerbaijani Fishery Products''",33150,"KONINKRIJK DER NEDERLANDEN","Netherlands (The)","Azerbaijan","Target group: the State Office for the Control of Consumer Market (SOCCM) under the Ministry of Economic Development of Azerbaijan
Location: Baku, Azerbaijan",1000000,100,1000000,27,"M",2008
164180,"Twinning ''Strengthening of Standardisation, Metrology,
Conformity Assessment & Accreditation in SASMP''",33120,"BUNDESREPUBLIK DEUTSCHLAND","Germany","Azerbaijan","Target group: The State Agency on Standards, Metrology and Patents of the Republic of Azerbaijan
Location: Baku, Azerbaijan",1400000,100,1400000,27,"M",2008
164748,"Introduction and Development of Quality Management within the Ukrainian Police.",15140,"CIVI POL CONSEIL,SOCIETE DE CONSEILET DE SERVICE DU MINISTERE DE L'INTERIEUR SA","France","Ukraine","Kyiv, Ukraine",2000000,100,2000000,21,"M",2008
165350,"EC Trust Fund in Moldova for Regional Development and Social Protection",99810,"THE WORLD BANK GROUP","United States","Moldova","Republic of Moldova",12500000,100,12500000,39,"M",2008
168260,"Reform Options for the Penitentiary System and Probation System for Convicted Child Offenders in Georgia",15160,"UNITED NATIONS CHILDREN'S FUND","United States","Georgia","Action location: detention facilities for convicted child offenders  in Tbilisi, Georgia
Target Groups: 
-Convicted boys and girls between 14 and 18 years in detention (Tbilisi)
-Child probationers released from detention between 14 and 18 years (¿conditionally released from detention¿ and ¿conditionally sentenced after detention¿) (Tbilisi)
-Staff of the Penitentiary Institutes for child offenders (Tbilisi = Georgia) 
-Staff of the Probation Services for child offenders (Tbilisi = Georgia)
-Standing Commission of the Penitentiary Institution (Tbilisi = Georgia)
-Local  NGO  staff (Tbilisi and surrounding area)
-Local services providers (Tbilisi and surrounding area)
-National and local policy makers (Georgia)
-Judges and prosecutors (Tbilisi)
Final  beneficiaries: All clients of the juvenile justice system (child offenders and child probationers); All professionals involved in juvenile justice; Community members (Tbilisi)
",1270000,98,1293877,24,"M",2008
168821,"Establishment of a Home Care Unit at the Municipality of Hincesti",16010,"CONSILIUL RAIONAL HINCESTI","Moldova","Tacis Region","Establishment of a Home Care Unit in the Municipality of Hincesti, for disabled people from Hincesti Municitality and surrounding areas; Republic of Moldova",246834,90,274260,16,"M",2008
169605,"Twinning ''Legal Approximation and Structural Reform in the Energy Sector of Azerbaijan''",23010,"BUNDESREPUBLIK DEUTSCHLAND","Germany","Azerbaijan","Target group: Ministry of Industry and Energy in the Republic of Azerbaijan
Location: Baku, Azerbaijan",1100000,100,1100000,21,"M",2008
170413,"Trans border cooperation for improving the environment conditions in Sireti village",14050,"PRIMARIA SATULUI SIRETI","Moldova","Tacis Region","Main beneficiaries: population of the Sireti village, Straseni rayon, Republic of Moldova",206568,90,229520,12,"M",2008
171904,"Support to Economic Reforms in Ukraine through Blue Ribbon Advisory and Analytical Centre  (BRAAC)¿ 2009",-15110,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Ukraine","Ukraine, Kiev 
Target Groups:
Ministries and other policy making state organisations ",500000,90,555556,12,"M",2008
163354,"Compromiso para liquidacion final para FUNDEVI",43040,"FUNDACION PARA EL DESARROLLO DE LAVIVIENDA SOCIAL URBANA Y RURAL","Honduras","Honduras","Honduras, Centro America.",59492,100,59492,6,"M",2008
159555,"Protection of land and patrimonial assets of displaced population",15230,"UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES","Switzerland","Colombia","Acción a nivel nacional  (Colombia)",2000000,83,2400000,24,"M",2008
160504,"Proyecto Medir la cohesión social- CEPAL 2008/2009",99810,"UNITED NATIONS ECONOMIC COMMISSIONFOR LATIN AMERICA AND THE CARIBBEAN","Chile","Latin America Countries","Países de América Latina y el Caribe",230493,73,313713,15,"M",2008
160515,"Proyecto Macroecónomia y Equidad- Modulo 1 Política Macroeconómica, Pacto Fiscal y Cohesión Social",99810,"UNITED NATIONS ECONOMIC COMMISSIONFOR LATIN AMERICA AND THE CARIBBEAN","Chile","Latin America Countries","MERCOSUR + Chile, México + América Central (incluyendo Panamá y República Dominicana) y la Comunidad Andina",181900,63,288900,15,"M",2008
160922,"USO+I: Universidad, Sociedad e Innovación. Mejora de la pertinencia de la educación en las Ingenierías de AL",11420,"UNIVERSIDAD DE ALCALA","Spain","Latin America Countries","NICARAGUA : Universidad Nacional Autónoma de;  PERU : Universidad Ricardo de Palma;  ARGENTINA : Universidad Nacional de Cordoba ; CUBA : Instituto Politecnico Superior ¿Jose Antonio Echeverria¿ ; GUATEMALA: Universidad de San Carlos de;
CHILE:Universidad de La Serena",918530,76,1210530,36,"M",2008
160931,"El Gate-European Latin American University Cooperation Gate",11420,"UNIVERSITA TELEMATICA GUGLIELMO MARCONI","Italy","Latin America Countries","Università Telematica ''Guglielmo Marconi'' (Italy), Universidade do Vale do Rio dos Sinos (Brazil), Universidade Aberta (Portugal), Universidad del Salvador (Argentina), Fundacion Uvirtual (Bolivia), Universidad Estatal a Distancia (Costa Rica).",750579,80,938224,30,"M",2008
160938,"Joint European-Latin American Universities Renewable Energy Project (JELARE)",11420,"HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN HAMBURG","Germany","Latin America Countries","Latvia : Rçzeknes Augstskola ; Bolivia : Universidad Católica Boliviana  ; Brazil  : Universidade Do Sul de Santa Catarina  ; Chile  : Universidad de Chile  ; Guatemala : Universidad del Istmo. ",1199997.3,80,1499996.62,36,"M",2008
160977,"ALFA Observatory (component III-Accompanying Measures)",11420,"UNIVERSIDADE DO PORTO","Portugal","Latin America Countries","Mexico: Unión de Universidades da América Latina y el Caribe; Uruguay: Asociación de Universidades Grupo Montevideo; Brasil: Fórum das Assessorias das Universidades Brasileiras para Relações Internacionais; Universidade Federal de Pernambuco; Colombia: Asociación Colombiana de Universidades; Argentina: Universidad Nacional del Litoral; Universidad de Buenos Aires; Paraguay: Universidad Nacional de Asunción; Perú: Pontificia Universidad Catolica del Perú; Mexico: Asociación Nacional de Universidades e Instituciones de Educación Superior. ",2499500,79,3180400,48,"M",2008
161079,"Oficina de Coordinación y Orientación del Programa URB-AL III (OCO) - Lote 2",99810,"DIPUTACIO DE BARCELONA","Spain","Latin America Countries","Argentina, Bolivia, Brasil, Chile, Colombia, Costa Rica, Cuba, El Salvador, Ecuador, Guatemala, Honduras, México, Nicaragua, Paraguay, Perú y Uruguay.
",6000000,67,8999931,48,"M",2008
161081,"Gente diversa-gente equivalente. Hacia una convivencia ciudadana ene equalidad.",43010,"ALCALDIA MUNICIPAL DE SANTA TECLA","El Salvador","Latin America Countries","Santa Tecla-El Salvador, Quito - Ecuador, Saint Denis - Francia",1599971.52,80,1999964.4,36,"M",2008
161082,"Gestión urbana y territorial participativa: una llave para la cohesión social y territorial.",43030,"TOSCANA","Italy","Latin America Countries","Valle de Punilla (Argentina)
Viña del Mar (Chile)
La Habana (Cuba) 
La Antigua (Guatemala)
León (Nicaragua)
Regione Toscana (Italia)",2409530,79,3051340,40,"M",2008
161083,"Revitalización socio-urbana y articulación de políticas hacia la integración social en áreas centrales degradadas.",43030,"INTENDENCIA MUNICIPAL DE MONTEVIDEO","Uruguay","Uruguay","Montevideo, Florida (Uruguay)",1870787,80,2338483,48,"M",2008
161097,"PACEF: PActo para la Capacitacion y el Empleo Feminino.",-15110,"SICILIA","Italy","Latin America Countries","Italia: Region de Sicilia
Argentina: Provincia de Buenos Aires 
Paraguay: Gobernación Departamento Central
España: Comunidad Autonoma de Aragon
Bolivia: Alcadìa Sacaba, Alcadìa Vinto; Mancomunidad de la Región Andina de Cochabamba; Asociación de Municipios de Cochabamba",1876762,80,2345952,36,"M",2008
161100,"Cohesión social a través del fortalecimiento del las Cadenas Productivas: desarrollo de métodos permanentes de acción colectiva en los sistemas regionales de países del Mercosur. COCAP",43030,"VENETO","Italy","Latin America Countries","Provincia de San Juan (Argentina)
Estado do Rio Grande do Sul (Brasil)
Departamento de Misiones (Paraguay)
Regione del Veneto (Italia)
",2469604.1,80,3087005.13,36,"M",2008
161104,"ASEGURAMIENTO DE LA CALIDAD: POLÍTICAS PÚBLICAS Y GESTIÓN UNIVERSITARIA",11420,"CENTRO INTERUNIVERSITARIO DE DESARROLLO CINDA CORPORACION","Chile","Latin America Countries","Argentina, Bolivia, Bélgica, Brasil, Colombia, Costa Rica, Chile, España, Italia, México, Panamá, Paraguay, Perú, Portugal, Uruguay, Venezuela

",1610542,80,2013178,36,"M",2008
161106,"Desarrollo local y emigración en Latinoamérica-EMIDEL",15140,"AYUNTAMIENTO DE L'HOSPITALET DE LLOBREGAT","Spain","Latin America Countries","1. Ayuntamiento L´Hospitalet de Llobregat (España)
2. Gobierno Municipal de la Paz  (Bolivia)
3. Intendencia Municipal de Canelones (Uruguay)
4. Alcaldía Municipal de Santa Tecla (Salvador)
5. Diputación de Barcelona (España)",2270000,77,2950000,48,"M",2008
161112,"La Basura Sirve: Reducción, Reciclaje, Recuperacion de residuos y Conscientización Medio Ambiental  para la construcción de cohesión social en América Latina.

",43030,"COMUNE DI AREZZO","Italy","Latin America Countries","1. Chile, Arica.
2. Ecuador, Cuenca.
3. Argentina, General Pico.
4. Argentina, Tres de Febrero.
5. Peru, Santiago de Surco.
6. Italy, Arezzo.
7. France, Lille Metropole.",1909227.61,79,2401544.17,36,"M",2008
161119,"kick start II New ways to teach innovation",11420,"THE GLASGOW CALEDONIAN UNIVERSITY","United Kingdom","Latin America Countries","Colombia : Universidad Central ; Alemania : Westfälische-Wilhelms-Universität Münster ; España : Universidad de Salamanca ; México : Instituto Tecnológico y de Estudios Superiores de Monterrey ; Argentina : Universidad de Buenos Aires ; Chile : Universidad Técnica Federico Santa María ; Perú : Pontificia Universidad Católica ; Bolivia : Fundación Universidad Privada de Santa Cruz de la Sierra. ",818778.34,80,1023472.93,36,"M",2008
161150,"INTEGRATION-Integrated Urban Development.",43030,"LANDESHAUPTSTADT STUTTGART","Germany","Latin America Countries","Germany, City of Stuttgart
Brazil, Sao Paulo y Rio de Janeiro
México, Municipality of Guadalajara and State of Chihuahua
Colombia, Municipality of Bogotá
Ecuador, Municipality of Quito",2862926.24,80,3578657.8,48,"M",2008
161164,"EU-LA-WIN European Union and Latin America for Welfare INtegrated policies",43030,"REPUBBLICA ITALIANA","Italy","Latin America Countries","1. Argentina: Provincia de Buenos Aires.
2. Argentina: Municipalidad de Peneral Pueyrredon.
3. Brasil: State of Paraná. 
4. Colombia: Gobernacion de Antioquia.
5. Italy: Emilia-Romagna Region, Marche Region, Roma.
6. Spain: Mancomunitat de la Ribeira Alta in Valencia Region. 
7. Belgium: Brussels. 
",2353895.63,75,3138527.5,36,"M",2008
161176,"Fomento de la cohesion social e integracion regional territorial de municipios fronterizos del trifinio centroamericano",-15110,"MANCOMUNIDAD TRINACIONAL FRONTERIZA RIO LEMPA","Guatemala","Latin America Countries","El Salvador, Honduras and Guatemala",2813357,80,3517357,48,"M",2008
161183,"AGLOMERADOS URBANOS EM ÁREA PROTEGIDA: Métodos para promover o desenvolvimento socioeconômico da população com a tutela da natureza",43030,"COMUNE DI PIGNA","Italy","Latin America Countries","1. Uruguay: Intendencia Departamental de Rivera.
2. Brasil: Estado do Rio Grande do Sul
3.Brasil: Municípios de: Santana do Livramento
4. Brasil: Alegrete.
5. Brasil: Rosário do Sul.
6. Brasil: Quaraí.
7. Italy: Comune di Pigna",2493577,80,3116971,48,"M",2008
161211,"¿Red de Observatorios de Buenas Prácticas de Dirección Estratégica Universitaria en América Latina y Europa¿. ",11420,"UNIVERSITAT POLITECNICA DE CATALUNYA","Spain","Latin America Countries","Argentina : Universidad Nacional de General San Martín ; Bolivia : Universidad Privada de Santa Cruz de la Sierra ; Brasil : Universidade Estadual de Campinas ; Chile : Pontificia Universidad Católica de Valparaíso ; Universidad de Concepción ; Universidad de Talca ; Colombia : Universidad de los Andes ; Universidad del Valle ; Pontificia Universidad Javeriana ; Universidad del Norte ; Costa Rica : Universidad de Costa Rica ; Ecuador : Escuela Politécnica del Litoral ; El Salvador : Universidad Centroamericana ¿José Simeón Cañas¿ ; México : Universidad del Valle de Toluca ; Panama : Universidad de Panamá ; Paraguay : Universidad Nacional de Asunción ;  Peru : Pontificia Universidad Católica del Perú ; Uruguay : Universidad Católica del Uruguay Dámaso Antonio Larrañaga ; Venezuela : Universidad Simón Bolívar ; España : Universidad de Barcelona ; Belgica : Universidad Católica de Lovaina ; Portugal : Instituto Superior de Ingeniería de Lisboa ; Lituania : Vilnius Gediminas Technical University. ",2267507.2,80,2834384,36,"M",2008
161215,"Reurbanización del espacio común entre dos ciudades gemelas  de países limítrofes como instrumento de cohesión social y creación de ciudadanía con identidad propia, para la gestión conjunta de ambas ciudades",43010,"PREFEITURA MUNICIPAL DE PONTA PORA","Brazil","Latin America Countries","SUD AMERICA 
- BRASIL Y PARAGUAY  -  CIUDADES GEMELAS FRONTERIZAS DE PONTA PORÂ  Y PEDRO JUAN CABALLERO 
EUROPA
-MÁLAGA - ESPAÑA 
",1609037,79,2030128,36,"M",2008
161272,"Gestion integral de Tierras.",43030,"MUNICIPALIDAD DE PUERTO CORTES","Honduras","Latin America Countries","HONDURAS:  MUNICIPALIDADES DE PUERTO CORTÉS, TELA Y OMOA
GUATEMALA: MUNICIPALIDAD DE PUERTO BARRIOS
",2953279.47,80,3703039.47,48,"M",2008
